experiment,mode,batch_timeout_ms,tool,concurrency,trial,tps,p50_ms,p95_ms,errors,success,elapsed_s,cpu_pct,ram_mb,method,platform
exp1,fabric,2000,fixedcount_x10,50,0,58.0,34,2156,0,500,8.6,18.3,883,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,50,1,77.0,19,2147,0,500,6.5,18.9,904,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,50,2,58.2,24,2145,0,500,8.6,19.3,912,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,50,3,58.3,20,2160,0,500,8.6,19.7,915,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,50,4,58.8,19,2129,0,500,8.5,20.0,911,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,50,5,58.4,17,2144,0,500,8.6,20.2,791,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,100,1,58.5,2100,4232,0,1000,17.1,20.9,724,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,100,2,66.9,2096,4225,0,1000,15.0,21.4,706,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,100,3,58.7,2098,4220,0,1000,17.0,21.6,681,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,100,4,66.9,60,4225,0,1000,15.0,21.9,653,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,100,5,66.3,2092,4233,0,1000,15.1,22.0,565,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,150,1,70.2,2122,4250,0,1500,21.4,22.5,586,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,150,2,70.4,2122,4242,0,1500,21.3,22.7,593,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,150,3,70.2,2127,4259,0,1500,21.4,22.9,598,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,150,4,70.2,2126,4250,0,1500,21.4,22.9,605,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,150,5,64.0,2129,4249,0,1500,23.4,22.8,602,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,200,1,71.7,2150,4306,0,2000,27.9,22.9,559,gateway,linux_x86_64
exp1,fabric,2000,fixedcount_x10,200,2,62.5,2157,6376,0,2000,32.0,22.8,558,gateway,linux_x86_64
