experiment,operation,mode,method,sample_idx,latency_ms,http,platform
exp2,checkaccess,fabric,gateway,1,22.912,200,linux_x86_64
exp2,checkaccess,fabric,gateway,2,15.046,200,linux_x86_64
exp2,checkaccess,fabric,gateway,3,9.434,200,linux_x86_64
exp2,checkaccess,fabric,gateway,4,8.665,200,linux_x86_64
exp2,checkaccess,fabric,gateway,5,12.75,200,linux_x86_64
exp2,checkaccess,fabric,gateway,6,8.887,200,linux_x86_64
exp2,checkaccess,fabric,gateway,7,10.989,200,linux_x86_64
exp2,checkaccess,fabric,gateway,8,11.125,200,linux_x86_64
exp2,checkaccess,fabric,gateway,9,8.065,200,linux_x86_64
exp2,checkaccess,fabric,gateway,10,6.606,200,linux_x86_64
exp2,checkaccess,fabric,gateway,11,10.202,200,linux_x86_64
exp2,checkaccess,fabric,gateway,12,12.74,200,linux_x86_64
exp2,checkaccess,fabric,gateway,13,12.438,200,linux_x86_64
exp2,checkaccess,fabric,gateway,14,7.194,200,linux_x86_64
exp2,checkaccess,fabric,gateway,15,10.445,200,linux_x86_64
exp2,checkaccess,fabric,gateway,16,10.808,200,linux_x86_64
exp2,checkaccess,fabric,gateway,17,8.566,200,linux_x86_64
exp2,checkaccess,fabric,gateway,18,7.679,200,linux_x86_64
exp2,checkaccess,fabric,gateway,19,6.155,200,linux_x86_64
exp2,checkaccess,fabric,gateway,20,7.221,200,linux_x86_64
exp2,checkaccess,fabric,gateway,21,10.177,200,linux_x86_64
exp2,checkaccess,fabric,gateway,22,9.133,200,linux_x86_64
exp2,checkaccess,fabric,gateway,23,8.445,200,linux_x86_64
exp2,checkaccess,fabric,gateway,24,5.949,200,linux_x86_64
exp2,checkaccess,fabric,gateway,25,8.535,200,linux_x86_64
exp2,checkaccess,fabric,gateway,26,9.494,200,linux_x86_64
exp2,checkaccess,fabric,gateway,27,6.87,200,linux_x86_64
exp2,checkaccess,fabric,gateway,28,6.254,200,linux_x86_64
exp2,checkaccess,fabric,gateway,29,9.252,200,linux_x86_64
exp2,checkaccess,fabric,gateway,30,10.852,200,linux_x86_64
exp2,checkaccess,fabric,gateway,31,8.105,200,linux_x86_64
exp2,checkaccess,fabric,gateway,32,8.858,200,linux_x86_64
exp2,checkaccess,fabric,gateway,33,8.375,200,linux_x86_64
exp2,checkaccess,fabric,gateway,34,7.404,200,linux_x86_64
exp2,checkaccess,fabric,gateway,35,7.26,200,linux_x86_64
exp2,checkaccess,fabric,gateway,36,9.388,200,linux_x86_64
exp2,checkaccess,fabric,gateway,37,6.771,200,linux_x86_64
exp2,checkaccess,fabric,gateway,38,6.595,200,linux_x86_64
exp2,checkaccess,fabric,gateway,39,5.847,200,linux_x86_64
exp2,checkaccess,fabric,gateway,40,5.618,200,linux_x86_64
exp2,checkaccess,fabric,gateway,41,5.51,200,linux_x86_64
exp2,checkaccess,fabric,gateway,42,7.6,200,linux_x86_64
exp2,checkaccess,fabric,gateway,43,6.378,200,linux_x86_64
exp2,checkaccess,fabric,gateway,44,6.66,200,linux_x86_64
exp2,checkaccess,fabric,gateway,45,9.869,200,linux_x86_64
exp2,checkaccess,fabric,gateway,46,13.969,200,linux_x86_64
exp2,checkaccess,fabric,gateway,47,10.868,200,linux_x86_64
exp2,checkaccess,fabric,gateway,48,7.181,200,linux_x86_64
exp2,checkaccess,fabric,gateway,49,9.091,200,linux_x86_64
exp2,checkaccess,fabric,gateway,50,10.023,200,linux_x86_64
exp2,checkaccess,fabric,gateway,51,6.344,200,linux_x86_64
exp2,checkaccess,fabric,gateway,52,5.666,200,linux_x86_64
exp2,checkaccess,fabric,gateway,53,9.176,200,linux_x86_64
exp2,checkaccess,fabric,gateway,54,8.512,200,linux_x86_64
exp2,checkaccess,fabric,gateway,55,10.937,200,linux_x86_64
