experiment,kind,size_mb,sample,value_ms,cid,platform
exp3,fabric_commit,,1,2135.43,,linux_x86_64
exp3,fabric_commit,,2,2131.733,,linux_x86_64
exp3,fabric_commit,,3,2129.74,,linux_x86_64
exp3,fabric_commit,,4,2136.899,,linux_x86_64
exp3,fabric_commit,,5,2128.634,,linux_x86_64
exp3,ipfs_add,1,1,26.913,QmcEkzxqhAr54Jm8Z57vidykLgoW14pUVbMjJJmu7pcuAe,linux_x86_64
exp3,ipfs_add,1,2,9.18,QmcEkzxqhAr54Jm8Z57vidykLgoW14pUVbMjJJmu7pcuAe,linux_x86_64
exp3,ipfs_add,1,3,14.021,QmcEkzxqhAr54Jm8Z57vidykLgoW14pUVbMjJJmu7pcuAe,linux_x86_64
exp3,ipfs_add,1,4,10.019,QmcEkzxqhAr54Jm8Z57vidykLgoW14pUVbMjJJmu7pcuAe,linux_x86_64
exp3,ipfs_add,1,5,9.952,QmcEkzxqhAr54Jm8Z57vidykLgoW14pUVbMjJJmu7pcuAe,linux_x86_64
exp3,ipfs_add,1,6,11.046,QmcEkzxqhAr54Jm8Z57vidykLgoW14pUVbMjJJmu7pcuAe,linux_x86_64
exp3,ipfs_add,1,7,12.301,QmcEkzxqhAr54Jm8Z57vidykLgoW14pUVbMjJJmu7pcuAe,linux_x86_64
exp3,ipfs_add,1,8,8.48,QmcEkzxqhAr54Jm8Z57vidykLgoW14pUVbMjJJmu7pcuAe,linux_x86_64
exp3,ipfs_add,1,9,10.057,QmcEkzxqhAr54Jm8Z57vidykLgoW14pUVbMjJJmu7pcuAe,linux_x86_64
exp3,ipfs_add,1,10,10.225,QmcEkzxqhAr54Jm8Z57vidykLgoW14pUVbMjJJmu7pcuAe,linux_x86_64
exp3,ipfs_add,5,1,32.821,QmZsUoMJNXhvqtafpMSCxKntQgjD81X7meJ5poFngCYC8A,linux_x86_64
exp3,ipfs_add,5,2,21.239,QmZsUoMJNXhvqtafpMSCxKntQgjD81X7meJ5poFngCYC8A,linux_x86_64
exp3,ipfs_add,5,3,17.12,QmZsUoMJNXhvqtafpMSCxKntQgjD81X7meJ5poFngCYC8A,linux_x86_64
exp3,ipfs_add,5,4,18.891,QmZsUoMJNXhvqtafpMSCxKntQgjD81X7meJ5poFngCYC8A,linux_x86_64
exp3,ipfs_add,5,5,19.277,QmZsUoMJNXhvqtafpMSCxKntQgjD81X7meJ5poFngCYC8A,linux_x86_64
exp3,ipfs_add,5,6,14.895,QmZsUoMJNXhvqtafpMSCxKntQgjD81X7meJ5poFngCYC8A,linux_x86_64
exp3,ipfs_add,5,7,16.273,QmZsUoMJNXhvqtafpMSCxKntQgjD81X7meJ5poFngCYC8A,linux_x86_64
exp3,ipfs_add,5,8,15.28,QmZsUoMJNXhvqtafpMSCxKntQgjD81X7meJ5poFngCYC8A,linux_x86_64
exp3,ipfs_add,5,9,14.678,QmZsUoMJNXhvqtafpMSCxKntQgjD81X7meJ5poFngCYC8A,linux_x86_64
exp3,ipfs_add,5,10,17.4,QmZsUoMJNXhvqtafpMSCxKntQgjD81X7meJ5poFngCYC8A,linux_x86_64
exp3,ipfs_add,10,1,41.134,QmYiLYy8WndAQQSJyz6PbdyYXpbdFv7andKKunv4sayGrh,linux_x86_64
exp3,ipfs_add,10,2,33.219,QmYiLYy8WndAQQSJyz6PbdyYXpbdFv7andKKunv4sayGrh,linux_x86_64
exp3,ipfs_add,10,3,35.3,QmYiLYy8WndAQQSJyz6PbdyYXpbdFv7andKKunv4sayGrh,linux_x86_64
exp3,ipfs_add,10,4,26.676,QmYiLYy8WndAQQSJyz6PbdyYXpbdFv7andKKunv4sayGrh,linux_x86_64
exp3,ipfs_add,10,5,30.459,QmYiLYy8WndAQQSJyz6PbdyYXpbdFv7andKKunv4sayGrh,linux_x86_64
exp3,ipfs_add,10,6,24.395,QmYiLYy8WndAQQSJyz6PbdyYXpbdFv7andKKunv4sayGrh,linux_x86_64
exp3,ipfs_add,10,7,29.407,QmYiLYy8WndAQQSJyz6PbdyYXpbdFv7andKKunv4sayGrh,linux_x86_64
exp3,ipfs_add,10,8,28.474,QmYiLYy8WndAQQSJyz6PbdyYXpbdFv7andKKunv4sayGrh,linux_x86_64
exp3,ipfs_add,10,9,30.315,QmYiLYy8WndAQQSJyz6PbdyYXpbdFv7andKKunv4sayGrh,linux_x86_64
exp3,ipfs_add,10,10,29.217,QmYiLYy8WndAQQSJyz6PbdyYXpbdFv7andKKunv4sayGrh,linux_x86_64
exp3,ipfs_add,20,1,74.726,QmWYRjtm6b7wPeddBWf7qJ9SdhLUEBcE1JgZS9BSq5zNpg,linux_x86_64
exp3,ipfs_add,20,2,44.854,QmWYRjtm6b7wPeddBWf7qJ9SdhLUEBcE1JgZS9BSq5zNpg,linux_x86_64
exp3,ipfs_add,20,3,37.235,QmWYRjtm6b7wPeddBWf7qJ9SdhLUEBcE1JgZS9BSq5zNpg,linux_x86_64
exp3,ipfs_add,20,4,41.416,QmWYRjtm6b7wPeddBWf7qJ9SdhLUEBcE1JgZS9BSq5zNpg,linux_x86_64
exp3,ipfs_add,20,5,43.76,QmWYRjtm6b7wPeddBWf7qJ9SdhLUEBcE1JgZS9BSq5zNpg,linux_x86_64
exp3,ipfs_add,20,6,38.992,QmWYRjtm6b7wPeddBWf7qJ9SdhLUEBcE1JgZS9BSq5zNpg,linux_x86_64
exp3,ipfs_add,20,7,41.364,QmWYRjtm6b7wPeddBWf7qJ9SdhLUEBcE1JgZS9BSq5zNpg,linux_x86_64
exp3,ipfs_add,20,8,41.838,QmWYRjtm6b7wPeddBWf7qJ9SdhLUEBcE1JgZS9BSq5zNpg,linux_x86_64
exp3,ipfs_add,20,9,42.569,QmWYRjtm6b7wPeddBWf7qJ9SdhLUEBcE1JgZS9BSq5zNpg,linux_x86_64
exp3,ipfs_add,20,10,49.453,QmWYRjtm6b7wPeddBWf7qJ9SdhLUEBcE1JgZS9BSq5zNpg,linux_x86_64
exp3,ipfs_add,30,1,93.85,QmXf5TC4f5LzfwQKpYBpHKH96HQfJDS8EftW42dr918ks8,linux_x86_64
exp3,ipfs_add,30,2,62.81,QmXf5TC4f5LzfwQKpYBpHKH96HQfJDS8EftW42dr918ks8,linux_x86_64
exp3,ipfs_add,30,3,59.901,QmXf5TC4f5LzfwQKpYBpHKH96HQfJDS8EftW42dr918ks8,linux_x86_64
exp3,ipfs_add,30,4,70.586,QmXf5TC4f5LzfwQKpYBpHKH96HQfJDS8EftW42dr918ks8,linux_x86_64
exp3,ipfs_add,30,5,69.807,QmXf5TC4f5LzfwQKpYBpHKH96HQfJDS8EftW42dr918ks8,linux_x86_64
exp3,ipfs_add,30,6,67.935,QmXf5TC4f5LzfwQKpYBpHKH96HQfJDS8EftW42dr918ks8,linux_x86_64
exp3,ipfs_add,30,7,72.318,QmXf5TC4f5LzfwQKpYBpHKH96HQfJDS8EftW42dr918ks8,linux_x86_64
exp3,ipfs_add,30,8,55.646,QmXf5TC4f5LzfwQKpYBpHKH96HQfJDS8EftW42dr918ks8,linux_x86_64
exp3,ipfs_add,30,9,54.561,QmXf5TC4f5LzfwQKpYBpHKH96HQfJDS8EftW42dr918ks8,linux_x86_64
exp3,ipfs_add,30,10,68.062,QmXf5TC4f5LzfwQKpYBpHKH96HQfJDS8EftW42dr918ks8,linux_x86_64
exp3,ipfs_add,50,1,146.761,QmQ2eLcWLtDcGZxAQsbfKd9LzfrRGrnVT98FjvJfhNMcTz,linux_x86_64
exp3,ipfs_add,50,2,99.962,QmQ2eLcWLtDcGZxAQsbfKd9LzfrRGrnVT98FjvJfhNMcTz,linux_x86_64
exp3,ipfs_add,50,3,93.628,QmQ2eLcWLtDcGZxAQsbfKd9LzfrRGrnVT98FjvJfhNMcTz,linux_x86_64
exp3,ipfs_add,50,4,88.971,QmQ2eLcWLtDcGZxAQsbfKd9LzfrRGrnVT98FjvJfhNMcTz,linux_x86_64
exp3,ipfs_add,50,5,102.31,QmQ2eLcWLtDcGZxAQsbfKd9LzfrRGrnVT98FjvJfhNMcTz,linux_x86_64
exp3,ipfs_add,50,6,93.979,QmQ2eLcWLtDcGZxAQsbfKd9LzfrRGrnVT98FjvJfhNMcTz,linux_x86_64
exp3,ipfs_add,50,7,95.423,QmQ2eLcWLtDcGZxAQsbfKd9LzfrRGrnVT98FjvJfhNMcTz,linux_x86_64
exp3,ipfs_add,50,8,102.119,QmQ2eLcWLtDcGZxAQsbfKd9LzfrRGrnVT98FjvJfhNMcTz,linux_x86_64
exp3,ipfs_add,50,9,83.613,QmQ2eLcWLtDcGZxAQsbfKd9LzfrRGrnVT98FjvJfhNMcTz,linux_x86_64
exp3,ipfs_add,50,10,88.105,QmQ2eLcWLtDcGZxAQsbfKd9LzfrRGrnVT98FjvJfhNMcTz,linux_x86_64
