experiment,operation,trial,runtime,platform,user_agent,node_version,browser_name,browser_version,input_size_bytes,latency_ms,output_size_bytes,notes
exp6_crypto,pbkdf2_sha256_600k_aes256,1,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,100.153031,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,2,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,108.41551,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,3,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,100.120698,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,4,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,100.428437,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,5,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,101.366373,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,6,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,100.73604,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,7,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,100.843495,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,8,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,100.443698,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,9,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,99.963216,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,10,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,107.022592,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,ecdh_p256_keygen,1,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.581171,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,2,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.254506,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,3,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.302027,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,4,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.26067,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,5,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.217315,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
