rtt_ms,method,trial,tps_committed
0,veth_corrected,1,25.6
0,veth_corrected,2,25.5
0,veth_corrected,3,22.3
0,veth_corrected,4,23.0
0,veth_corrected,5,25.5
50,veth_corrected,1,18.9
50,veth_corrected,2,21.9
50,veth_corrected,3,22.1
50,veth_corrected,4,19.7
50,veth_corrected,5,21.8
100,veth_corrected,1,19.3
100,veth_corrected,2,15.5
100,veth_corrected,3,17.1
100,veth_corrected,4,17.1
100,veth_corrected,5,19.2
150,veth_corrected,1,14.9
150,veth_corrected,2,18.1
150,veth_corrected,3,18.4
150,veth_corrected,4,20.1
150,veth_corrected,5,14.2
0,bridge_original,1,21.9
50,bridge_original,1,22.3
100,bridge_original,1,21.1
150,bridge_original,1,20.4
